freq,unit,expend,geo\TIME_PERIOD	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,INF_INV,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	149 	174 	167 	212 	1726 	1986 	13451 	10.645 e	28.788 e	32.031 e	26.153 e	27.778 	65.083 	113.020 	118.530 	175.620 	121.490 
A,MIO_EUR,INF_INV,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1269 
A,MIO_EUR,INF_INV,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6506 	: 	624 	952 	1074 	1303 	: 	4894.818 	4835.695 	5514.448 	5070.132 	5668.546 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_INV,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	76662 d	70688 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_INV,RO	268 	94 	3037 	425782 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_INV,SE	6294 	7964 	5310 	5718 	4752 	4712 	6557 	6180 	6310 	6988 	7373 	6898 	6920 	7310 	7490 	7736 	8256 	8355 	8342 	7732 	8348 	2012.830 	1864.483 	1861.656 	2085.987 	2374.859 	2496.612 	999.613 b	2942.545 	2910.068 	2893.712 
A,MIO_EUR,INF_INV,SI	: 	: 	: 	7602 	8424 	10332 	13148 	20542 	19388 	18893 	17048 	15123 	16693 	16872 	70 d	88 d	877 d	9817 d	121542 d	: 	10515 	: 	171.730 	187.540 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_INV,SK	: 	: 	: 	1911 	1766 	2142 	1995 	2399 	2838 	2938 	29433 	29873 	25835 	3869 	: 	: 	50424 	: 	1747 	1596 	1926 	360.500 	550.100 	1133.800 	751.400 	749.600 	768.800 	638.100 	752.200 	1112.500 	530.900 
A,MIO_EUR,INF_INV,TR	: 	: 	: 	1 	3 	11 	18 	44 	57 	91 	73 	142 	126 	149 	284 	497 	589 	888 	719 	1575 	1387 	6224.590 	6645.106 	9045.778 	7328.388 	6139.883 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_INV,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.211 	13.219 	19.857 	: 	: 	: 
A,MIO_EUR,INF_MNT,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.749 	15.263 	8.371 	13.004 	13.601 	13.441 	13.049 	9.063 	21.520 	27.000 
A,MIO_EUR,INF_MNT,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	268086 	502297 	140 	: 	370 	425 	442 	422 	302 	625 	: 	: 	: 	: 	: 	791 	: 	: 
A,MIO_EUR,INF_MNT,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8027 	3541 	360 	5144 	466 	3.732 	4.346 	8.539 	4.039 	2.608 	0.971 	1.636 	349.473 	454.494 	: 
A,MIO_EUR,INF_MNT,CH	: 	: 	: 	: 	: 	: 	3862 	4166 	4231 	4201 p	: 	: 	: 	: 	: 	: 	: 	: 	4725 	4717 	4677 	3088.295 	3137.658 	3582.732 	3514.034 	3471.260 	3313.420 	3404.351 	3615.133 	: 	: 
A,MIO_EUR,INF_MNT,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1088 	1389 	1399 	1604 	1998 	2098 	295 d	2295 d	1926 d	2067 d	1536 d	42.600 	82.400 	77.100 	76.800 	81.500 	57.700 	59.900 	73.300 	: 	: 
A,MIO_EUR,INF_MNT,CZ	: 	4810 	7660 	9802 	10537 	13720 	14466 	12217 	10988 	103009 	159707 	199218 	329018 	42137 	42268 	41461 	50962 	52524 	43494 	31799 	22036 	513.241 	587.122 	684.593 	767.278 	721.287 	871.342 	982.470 	883.840 	1138.105 	961.003 
A,MIO_EUR,INF_MNT,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3445 	3036 	2844 	3251 	3580 	4140 	4189 	4453 	4684 	4732 
A,MIO_EUR,INF_MNT,DK	1488 d	1763 	2218 	2578 	3006 	2990 	2908 	3119 	3800 	3971 	2962 	: 	: 	: 	8882 	7600 	6976 	: 	: 	: 	: 	926.534 	812.497 	820.116 	932.279 	1129.379 	1166.076 	1173.303 	1138.419 	1139.438 	: 
A,MIO_EUR,INF_MNT,EE	: 	: 	: 	603 	1322 	1134 	14616 	13119 	15306 	19344 	35605 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_MNT,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2068 d	2282 d	2482 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_MNT,FI	1788 	1457 	1403 	1061 	890 	833 	982 	151 d	157 d	132 d	136 d	148 d	201 	183 	135 	199 	221 	243 	258 	181 	252 	585 	586 	586 	351 b	363 	381 	369 	674 	: 	: 
A,MIO_EUR,INF_MNT,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2904 	2760 	2598 	2431 	2369 	2371 	2327 	2371 	2547 	2622 
A,MIO_EUR,INF_MNT,HR	: 	367 	648 	597 	971 	1320 	2024 	2577 	2326 	2280 	4564 	7928 	6572 	5553 	6409 	7822 	7956 	6674 	3756 	3464 	3600 	209.010 	257.388 	245.085 	234.426 	172.435 	193.308 	256.808 	238.777 	243.744 	260.388 
A,MIO_EUR,INF_MNT,HU	17109 	24632 	39437 	21574 	22635 	41890 	67400 	58200 	60530 	128523 	169047 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	273.461 	203.071 	220.913 	226.027 	257.728 	291.800 	269.152 	316.364 	285.507 	350.903 
A,MIO_EUR,INF_MNT,IE	21884 	3069 	25008 	: 	: 	375 	446 	606 	780 	908 	1084 	1169 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_MNT,IS	: 	: 	: 	: 	: 	7237 	7669 	8574 	9928 	13436 	9752 	12544 	16648 p	14069 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80.253 	: 
A,MIO_EUR,INF_MNT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3106 	9134 	9564 	9067 	8446 	8802 	7352 	6813 	7130 	: 	: 
A,MIO_EUR,INF_MNT,LT	: 	: 	: 	38 	137 	1628 	2611 	3239 	401 	249 	386 	490 	472 	571 	7718 	13428 	20515 	9328 	12327 	10836 	12528 	420.300 	130 	156.600 	156.200 	155.900 	198 	186.800 	203.100 	158.700 	222.700 
A,MIO_EUR,INF_MNT,LU	: 	: 	: 	: 	: 	: 	: 	: 	166 	1859 	2129 	1884 	1352 	1277 	1759 	1574 	1378 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_MNT,LV	: 	: 	: 	21 	31 	8 	1 	4 	65 	89 	65 	369 d	392 	1121 	12563 	16905 	18579 	9539 	993 	1578 	1475 	99.915 	153.990 	171.200 	175.370 	177.340 	200.560 	178.660 	258.900 	287.900 	262.600 
A,MIO_EUR,INF_MNT,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.960 	19 	41 	41 	: 	: 	: 
A,MIO_EUR,INF_MNT,MK	: 	: 	: 	155 	740 	164 	: 	: 	: 	1755 	2262 	: 	: 	1418 	1423 	2385 	2767 	2608 	: 	: 	: 	: 	: 	: 	228.637 	195.064 	156.963 	232.271 	164.487 	191.635 	192.461 p
A,MIO_EUR,INF_MNT,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	208 	125 	1204 	54 	133 	178 	25676 	12.691 e	18.344 e	6.940 e	14.840 e	15.846 	2.789 	7.950 	7.490 	19.150 	17.360 
A,MIO_EUR,INF_MNT,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1280 
A,MIO_EUR,INF_MNT,PL	474386 	717 	1094 	940 	13521 	1994 	2587 	3348 	40915 	37964 	47942 	47887 	5979 	8311 	10148 	: 	17583 	26836 	31355 	38048 	29972 	4894.818 	4835.695 	5514.448 	5070.132 	5668.546 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_MNT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	782037 d	661962 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_MNT,RO	193 	589 	657 	118487 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_MNT,SE	4044 	5963 	8411 	8950 	7329 	6509 	7417 	6398 	6212 	6737 	8551 	9900 	10315 	8099 	7905 	8576 	9826 	11434 	15906 b	17438 	19260 	1043.518 	1017.311 	1183.728 	1129.804 	1081.255 	1089.264 	999.613 b	1027.869 	1230.178 	1208.700 
A,MIO_EUR,INF_MNT,SI	: 	: 	: 	31987 	57233 	56684 	52802 	64652 	72130 	61180 	84330 	114977 	110043 	106266 	605 d	765 d	8291 d	64446 d	462854 d	: 	23334 	: 	199.240 	211.900 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_MNT,SK	: 	: 	: 	2202 	3066 	11982 	11833 	8974 	9680 	87183 	102097 	87239 	96106 	138948 	: 	: 	177059 	: 	3421 	4319 	3111 	203.600 	181.200 	201 	215 	229.500 	295.700 	277 	231.600 	360.400 	306.600 
A,MIO_EUR,INF_MNT,TR	: 	: 	: 	9 	29 	86 	118 	161 	234 	365 	500 	639 	1126 	1544 	3558 	3479 	4258 	6312 	10820 	12111 	11102 	629.959 	558.060 	238.969 	230.012 	229.336 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_MNT,UK	: 	4802 	4765 	4349 	4000 	3530 	3235 	3134 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_MNT,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	198.418 	221.987 	170.385 	: 	: 	: 
A,MIO_EUR,VEH,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	674158 	675174 	709 	678 	530 	588 	571 	550 	537 	1158 	: 	425 e	: 	435 e	642 e	: 	: 	: 
A,MIO_EUR,VEH,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7035 	2794 	2769 	4317 	392 	232.744 	270.222 	361.080 	379.078 	337.253 	365.579 	352.388 	269.302 	359.035 	: 
A,MIO_EUR,VEH,CY	: 	: 	: 	: 	: 	: 	104 	114 	94 	124 	113 	128 	133 	129 	166 	254 	375 	357 	312 	226 	14 	12.500 	15.800 	14.100 	17.700 	20.200 	23.800 	30 	29 	: 	: 
A,MIO_EUR,VEH,ES	: 	: 	: 	: 	: 	: 	: 	237626 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH,FI	: 	: 	: 	2261 	: 	26661 	30504 	5436 d	5293 d	5434 d	5819 d	6581 d	6864 	7352 	6968 	7533 	9081 	6894 	6369 	7557 	7644 	622.630 	831.520 	823.553 	858.480 	901.240 	943.840 	: 	: 	: 	: 
